transaction_id,customer_id,project_id,unit_id,demand_amount,collected_amount,outstanding_amount,discount_amount,refund_amount,payment_delay_days,demand_date,payment_date
TXN002241,CUST4933,PROJ-1005,B-0104,559000,559000,0,0,0,2,2025-01-08,2025-01-10
TXN001089,CUST6033,PROJ-1004,E-1006,1990000,1953000,0,37000,0,4,2024-06-07,2024-06-11
TXN001244,CUST1721,PROJ-1001,A-2505,1554000,1554000,0,0,0,27,2024-10-05,2024-11-01
TXN001156,CUST2957,PROJ-1008,C-0302,1102000,473000,629000,0,0,2,2025-04-30,2025-05-02
TXN001485,CUST5748,PROJ-1007,B-0110,1074000,0,1074000,0,0,19,2025-05-25,
TXN002300,CUST5875,PROJ-1006,A-1812,852000,852000,0,0,0,21,2024-03-18,2024-04-08
TXN002281,CUST4001,PROJ-1007,C-0412,575000,575000,0,0,0,5,2025-11-24,2025-11-29
TXN000063,CUST8690,PROJ-1005,D-1506,654000,654000,0,0,0,5,2024-03-07,2024-03-12
TXN001199,CUST6454,PROJ-1002,E-0203,1022000,0,1022000,0,15000,12,2025-01-24,
TXN002442,CUST2926,PROJ-1005,B-1403,824000,0,824000,0,0,14,2024-11-05,
TXN002331,CUST4821,PROJ-1007,E-2005,1071000,1056000,0,15000,0,1,2024-08-27,2024-08-28
TXN001476,CUST9902,PROJ-1003,A-2403,666000,371000,273000,22000,0,1,2025-10-01,2025-10-02
TXN002599,CUST6791,PROJ-1006,C-0311,310000,310000,0,0,0,227,2024-04-27,2024-12-10
TXN002326,CUST7907,PROJ-1004,A-2604,547000,547000,0,0,0,13,2024-02-07,2024-02-20
TXN000135,CUST9576,PROJ-1002,C-0309,2064000,2064000,0,0,0,0,2025-04-26,2025-04-26
TXN001250,CUST7493,PROJ-1004,A-2707,563000,563000,0,0,0,25,2024-09-17,2024-10-12
TXN002059,CUST5851,PROJ-1008,A-0504,1155000,1155000,0,0,0,14,2025-06-08,2025-06-22
TXN000195,CUST4422,PROJ-1008,C-1001,799000,0,799000,0,0,7,2025-05-05,
TXN000883,CUST9953,PROJ-1008,A-0609,1772000,1715000,0,57000,0,3,2024-06-05,2024-06-08
TXN001499,CUST9598,PROJ-1007,B-3006,471000,471000,0,0,0,0,2024-05-11,2024-05-11
TXN000436,CUST6898,PROJ-1005,D-1507,318000,318000,0,0,0,0,2024-11-05,2024-11-05
TXN001096,CUST8730,PROJ-1002,B-2912,470000,340000,130000,0,0,4,2025-08-26,2025-08-30
TXN002333,CUST6011,PROJ-1007,C-2910,1975000,1940000,0,35000,0,9,2025-09-17,2025-09-26
TXN002109,CUST1040,PROJ-1006,B-2406,867000,580000,287000,0,0,14,2024-10-04,2024-10-18
TXN000549,CUST6250,PROJ-1004,C-2905,2427000,2427000,0,0,0,7,2025-04-08,2025-04-15
TXN001871,CUST9388,PROJ-1001,A-2510,1375000,726000,587000,62000,0,3,2025-01-28,2025-01-31
TXN000026,CUST2200,PROJ-1002,E-0709,939000,396000,543000,0,0,6,2024-06-10,2024-06-16
TXN001726,CUST9140,PROJ-1008,C-2012,1017000,1017000,0,0,0,13,2025-09-04,2025-09-17
TXN001012,CUST6423,PROJ-1008,A-0210,1123000,1100000,0,23000,0,0,2025-10-05,2025-10-05
TXN002203,CUST9746,PROJ-1007,C-2802,657000,477000,180000,0,0,7,2025-12-29,2026-01-05
TXN002486,CUST2142,PROJ-1008,A-0208,975000,946000,0,29000,0,-21,2024-02-03,2024-01-13
TXN001144,CUST7520,PROJ-1003,E-2302,698000,676000,0,22000,0,2,2024-09-26,2024-09-28
TXN001980,CUST8939,PROJ-1005,B-0512,435000,435000,0,0,0,8,2025-02-24,2025-03-04
TXN000165,CUST4728,PROJ-1005,A-1908,1150000,332000,818000,0,0,3,2025-11-28,2025-12-01
TXN000133,CUST2821,PROJ-1007,C-0805,325000,77000,248000,0,0,9,2025-05-26,2025-06-04
TXN001522,CUST8308,PROJ-1002,A-0312,973000,0,973000,0,0,0,2024-05-22,
TXN000873,CUST7765,PROJ-1008,D-0106,1132000,1132000,0,0,0,11,2025-02-28,2025-03-11
TXN000676,CUST5882,PROJ-1001,D-0406,1033000,0,1033000,0,0,1,2024-05-03,
TXN001184,CUST7030,PROJ-1003,A-1405,645000,645000,0,0,0,29,2024-08-20,2024-09-18
TXN000257,CUST9185,PROJ-1001,E-0606,868000,234000,634000,0,0,0,2025-06-05,2025-06-05
TXN001940,CUST8755,PROJ-1002,C-2806,568000,325000,243000,0,4000,2,2025-08-01,2025-08-03
TXN001822,CUST9856,PROJ-1004,D-1901,1991000,1991000,0,0,0,1,2024-07-09,2024-07-10
TXN000836,CUST2251,PROJ-1005,A-2803,936000,0,913000,23000,0,3,2024-03-09,
TXN000231,CUST3733,PROJ-1003,D-1003,930000,717000,213000,0,0,1,2025-05-11,2025-05-12
TXN001795,CUST6036,PROJ-1008,B-2106,927000,927000,0,0,0,7,2025-12-07,2025-12-14
TXN001355,CUST7627,PROJ-1003,E-1410,1082000,1082000,0,0,0,3,2025-03-06,2025-03-09
TXN000094,CUST7797,PROJ-1003,A-2708,1856000,613000,1243000,0,0,26,2025-03-31,2025-04-26
TXN002417,CUST9240,PROJ-1003,E-1605,2486000,0,2486000,0,0,20,2024-03-06,
TXN002406,CUST7972,PROJ-1006,E-2004,408000,408000,0,0,0,20,2024-05-11,2024-05-31
TXN001776,CUST4267,PROJ-1008,C-1010,638000,638000,0,0,0,2,2024-08-15,2024-08-17
TXN000304,CUST2480,PROJ-1005,C-0107,385000,385000,0,0,0,10,2024-08-14,2024-08-24
TXN000345,CUST5835,PROJ-1001,B-2509,488000,314000,174000,0,0,13,2024-08-17,2024-08-30
TXN000950,CUST3257,PROJ-1007,A-1502,1771000,0,1771000,0,0,7,2024-08-31,
TXN001710,CUST8008,PROJ-1002,D-1201,1397000,1397000,0,0,0,13,2024-12-21,2025-01-03
TXN000284,CUST6500,PROJ-1002,D-0105,862000,545000,317000,0,0,5,2024-02-19,2024-02-24
TXN001214,CUST6526,PROJ-1005,B-0108,666000,666000,0,0,0,2,2024-08-21,2024-08-23
TXN001390,CUST7054,PROJ-1006,A-1205,994000,994000,0,0,0,0,2025-04-26,2025-04-26
TXN001714,CUST1958,PROJ-1006,D-2712,1372000,1372000,0,0,0,16,2024-04-14,2024-04-30
TXN002585,CUST7780,PROJ-1002,D-1405,428000,263000,148000,17000,0,177,2025-11-05,2026-05-01
TXN002393,CUST6125,PROJ-1005,C-1507,749000,0,749000,0,0,3,2024-11-06,
TXN000246,CUST3246,PROJ-1005,D-2503,672000,672000,0,0,14000,10,2024-08-06,2024-08-16
TXN001502,CUST6028,PROJ-1007,B-0701,1787000,1718000,0,69000,0,24,2025-05-08,2025-06-01
TXN000965,CUST2875,PROJ-1004,A-0611,1923000,455000,1468000,0,0,28,2024-09-22,2024-10-20
TXN000735,CUST3915,PROJ-1006,B-2301,1453000,746000,707000,0,0,12,2025-11-09,2025-11-21
TXN000147,CUST6692,PROJ-1006,A-1809,1735000,1076000,659000,0,0,15,2024-06-27,2024-07-12
TXN000521,CUST9849,PROJ-1002,B-0107,627000,627000,0,0,0,4,2025-11-29,2025-12-03
TXN001543,CUST7463,PROJ-1003,D-0909,1146000,0,1146000,0,0,18,2025-12-16,
TXN002028,CUST2309,PROJ-1002,E-2110,1834000,1834000,0,0,0,8,2025-02-18,2025-02-26
TXN002133,CUST7803,PROJ-1002,A-1204,1175000,1122000,0,53000,0,1,2025-04-17,2025-04-18
TXN002221,CUST2395,PROJ-1002,E-1908,960000,960000,0,0,0,2,2025-11-10,2025-11-12
TXN001965,CUST6631,PROJ-1002,E-1901,499000,376000,123000,0,0,2,2025-11-04,2025-11-06
TXN001301,CUST1596,PROJ-1003,B-0310,1683000,1683000,0,0,0,4,2025-01-19,2025-01-23
TXN000649,CUST4714,PROJ-1002,A-1804,770000,510000,260000,0,0,3,2025-07-24,2025-07-27
TXN001689,CUST6694,PROJ-1007,D-2301,1700000,1700000,0,0,19000,6,2024-08-13,2024-08-19
TXN001527,CUST8214,PROJ-1004,E-1208,583000,559000,0,24000,0,4,2025-04-30,2025-05-04
TXN000414,CUST7199,PROJ-1007,B-0902,1156000,0,1156000,0,0,8,2025-12-11,
TXN002228,CUST1072,PROJ-1004,E-1504,581000,581000,0,0,0,10,2024-01-09,2024-01-19
TXN000481,CUST6050,PROJ-1002,C-2301,1234000,450000,729000,55000,0,4,2025-06-21,2025-06-25
TXN000215,CUST8933,PROJ-1005,A-1205,1120000,1120000,0,0,0,0,2024-11-07,2024-11-07
TXN002247,CUST1058,PROJ-1002,C-2809,391000,391000,0,0,0,26,2025-12-16,2026-01-11
TXN001240,CUST3613,PROJ-1007,A-0206,800000,800000,0,0,0,6,2024-10-13,2024-10-19
TXN000169,CUST5735,PROJ-1005,B-2312,832000,0,832000,0,0,9,2024-10-07,
TXN000054,CUST9728,PROJ-1006,D-2206,565000,565000,0,0,9000,27,2025-03-19,2025-04-15
TXN000872,CUST5749,PROJ-1001,D-0704,1078000,1078000,0,0,0,5,2024-05-07,2024-05-12
TXN001459,CUST4057,PROJ-1006,E-2506,687000,687000,0,0,0,2,2025-08-12,2025-08-14
TXN001287,CUST2343,PROJ-1002,D-2308,658000,658000,0,0,0,0,2025-01-24,2025-01-24
TXN000152,CUST5105,PROJ-1002,B-2109,931000,931000,0,0,0,2,2025-10-18,2025-10-20
TXN000645,CUST8345,PROJ-1006,D-0103,1561000,1561000,0,0,0,9,2024-08-12,2024-08-21
TXN000624,CUST5635,PROJ-1007,C-2005,1656000,819000,837000,0,0,8,2024-06-03,2024-06-11
TXN000960,CUST9761,PROJ-1005,D-1410,2088000,2088000,0,0,0,1,2024-08-31,2024-09-01
TXN001210,CUST5299,PROJ-1002,C-1506,888000,888000,0,0,0,3,2024-07-13,2024-07-16
TXN000458,CUST4804,PROJ-1004,B-2201,883000,883000,0,0,0,6,2025-09-11,2025-09-17
TXN000565,CUST4264,PROJ-1003,B-2707,1381000,1381000,0,0,0,4,2025-08-22,2025-08-26
TXN000621,CUST8715,PROJ-1004,C-2011,2488000,2488000,0,0,0,5,2025-09-26,2025-10-01
TXN000342,CUST4560,PROJ-1006,B-0710,1520000,0,1520000,0,0,5,2025-10-27,
TXN001592,CUST5507,PROJ-1007,A-1503,743000,0,743000,0,0,5,2025-05-30,
TXN000103,CUST3500,PROJ-1006,D-0302,349000,349000,0,0,0,8,2024-05-13,2024-05-21
TXN001829,CUST3797,PROJ-1002,D-1807,1568000,1568000,0,0,0,8,2025-05-05,2025-05-13
TXN000261,CUST7044,PROJ-1001,B-1010,1576000,1576000,0,0,0,30,2025-05-20,2025-06-19
TXN000976,CUST8068,PROJ-1001,A-2303,369000,369000,0,0,0,5,2025-03-08,2025-03-13
TXN001541,CUST2070,PROJ-1008,E-0512,1423000,751000,672000,0,0,19,2024-01-03,2024-01-22
TXN001259,CUST1462,PROJ-1003,E-1502,1380000,1380000,0,0,0,10,2025-07-02,2025-07-12
TXN001880,CUST7359,PROJ-1006,C-1312,842000,286000,556000,0,0,1,2025-07-17,2025-07-18
TXN001466,CUST2787,PROJ-1003,C-2502,486000,0,475000,11000,0,18,2025-12-13,
TXN000359,CUST1182,PROJ-1006,E-2809,729000,707000,0,22000,0,4,2024-03-28,2024-04-01
TXN002567,CUST4309,PROJ-1004,A-1509,358000,358000,110000,0,0,14,2025-12-21,2026-01-04
TXN001275,CUST9728,PROJ-1006,E-2011,432000,240000,192000,0,0,4,2024-08-21,2024-08-25
TXN001373,CUST8411,PROJ-1006,E-2303,351000,111000,240000,0,0,3,2024-06-09,2024-06-12
TXN001733,CUST7102,PROJ-1002,E-0507,1875000,1875000,0,0,0,1,2024-01-09,2024-01-10
TXN001804,CUST3217,PROJ-1001,D-0701,950000,950000,0,0,0,19,2025-06-05,2025-06-24
TXN002181,CUST1331,PROJ-1005,B-2007,693000,693000,0,0,0,2,2025-03-29,2025-03-31
TXN000988,CUST2453,PROJ-1004,E-2812,603000,603000,0,0,0,2,2025-12-28,2025-12-30
TXN001501,CUST1279,PROJ-1008,A-0808,374000,374000,0,0,0,7,2024-11-30,2024-12-07
TXN002257,CUST2402,PROJ-1007,D-2706,796000,500000,296000,0,0,0,2025-09-15,2025-09-15
TXN000769,CUST2728,PROJ-1002,D-2301,942000,942000,0,0,0,11,2024-09-20,2024-10-01
TXN000599,CUST4278,PROJ-1006,D-1305,2081000,2081000,0,0,0,10,2024-01-20,2024-01-30
TXN001874,CUST5208,PROJ-1003,C-0703,1014000,441000,573000,0,0,14,2024-02-08,2024-02-22
TXN000202,CUST8993,PROJ-1008,A-0109,1863000,0,1809000,54000,0,16,2024-01-18,
TXN002294,CUST7386,PROJ-1003,C-2602,724000,206000,518000,0,0,1,2025-09-21,2025-09-22
TXN000830,CUST5385,PROJ-1002,B-2110,305000,123000,182000,0,0,1,2025-12-25,2025-12-26
TXN001886,CUST8875,PROJ-1005,E-2104,1197000,1197000,0,0,0,29,2024-11-10,2024-12-09
TXN001702,CUST5277,PROJ-1002,C-1805,872000,872000,0,0,0,3,2024-03-15,2024-03-18
TXN001185,CUST6782,PROJ-1003,B-1307,983000,983000,0,0,0,4,2025-01-07,2025-01-11
TXN002408,CUST2304,PROJ-1008,E-2001,1134000,794000,318000,22000,0,9,2025-06-17,2025-06-26
TXN000100,CUST1510,PROJ-1008,A-1607,1219000,462000,712000,45000,0,0,2024-05-31,2024-05-31
TXN000882,CUST8387,PROJ-1006,B-0605,394000,107000,287000,0,0,30,2024-12-17,2025-01-16
TXN001164,CUST9517,PROJ-1002,A-2211,1756000,1756000,0,0,0,13,2025-02-07,2025-02-20
TXN001569,CUST3409,PROJ-1002,E-1509,2386000,2386000,0,0,0,8,2025-09-29,2025-10-07
TXN002245,CUST1934,PROJ-1004,B-0806,1386000,1386000,0,0,0,15,2024-07-24,2024-08-08
TXN001446,CUST2718,PROJ-1008,C-1310,676000,676000,0,0,0,2,2025-08-07,2025-08-09
TXN000993,CUST5286,PROJ-1006,C-1407,946000,946000,0,0,0,4,2024-08-12,2024-08-16
TXN001674,CUST3926,PROJ-1003,C-1301,692000,0,692000,0,0,11,2024-08-04,
TXN001069,CUST4391,PROJ-1001,E-1508,1065000,0,1065000,0,0,20,2025-05-27,
TXN000112,CUST8147,PROJ-1001,A-1502,1404000,525000,879000,0,0,0,2025-02-18,2025-02-18
TXN000048,CUST3704,PROJ-1007,D-3003,2120000,2072000,0,48000,0,6,2025-10-20,2025-10-26
TXN002464,CUST9175,PROJ-1002,B-0205,2098000,2098000,0,0,0,1,2024-11-02,2024-11-03
TXN001450,CUST5645,PROJ-1002,C-1511,2064000,0,2064000,0,0,20,2025-12-12,
TXN001308,CUST8987,PROJ-1008,D-2509,587000,587000,0,0,0,25,2024-06-06,2024-07-01
TXN002223,CUST6697,PROJ-1002,D-1108,1172000,1172000,0,0,0,8,2024-09-10,2024-09-18
TXN000523,CUST4129,PROJ-1007,C-2307,488000,488000,0,0,0,2,2024-07-13,2024-07-15
TXN002099,CUST4332,PROJ-1005,D-2608,827000,592000,235000,0,0,5,2025-07-02,2025-07-07
TXN000831,CUST8871,PROJ-1003,E-2908,922000,922000,0,0,0,3,2025-12-09,2025-12-12
TXN000394,CUST4580,PROJ-1006,E-0903,1123000,1123000,0,0,0,2,2024-09-28,2024-09-30
TXN000520,CUST3483,PROJ-1005,C-2907,1008000,1008000,0,0,0,5,2025-03-22,2025-03-27
TXN002531,CUST9276,PROJ-1001,A-2410,357000,340000,0,17000,161000,17,2024-04-08,2024-04-25
TXN000600,CUST9178,PROJ-1003,B-2212,781000,781000,0,0,0,25,2025-03-20,2025-04-14
TXN002373,CUST8042,PROJ-1007,A-2111,319000,77000,242000,0,10000,15,2024-09-08,2024-09-23
TXN000998,CUST3571,PROJ-1001,C-1001,859000,826000,0,33000,0,1,2025-02-14,2025-02-15
TXN001041,CUST4977,PROJ-1008,A-1303,1600000,1600000,0,0,0,15,2024-10-16,2024-10-31
TXN000582,CUST5761,PROJ-1007,D-0702,1212000,531000,681000,0,26000,11,2025-06-19,2025-06-30
TXN000070,CUST4750,PROJ-1002,E-1901,1404000,1011000,338000,55000,0,30,2024-07-04,2024-08-03
TXN002212,CUST9171,PROJ-1007,A-2304,509000,509000,0,0,0,21,2024-10-19,2024-11-09
TXN001971,CUST8737,PROJ-1003,D-1303,592000,585000,0,7000,12000,13,2025-10-12,2025-10-25
TXN000838,CUST6463,PROJ-1007,B-2611,1002000,1002000,0,0,0,7,2025-06-29,2025-07-06
TXN001566,CUST9432,PROJ-1002,A-2307,997000,997000,0,0,0,5,2025-03-11,2025-03-16
TXN001896,CUST3953,PROJ-1004,A-2303,754000,754000,0,0,0,16,2025-04-20,2025-05-06
TXN002253,CUST7917,PROJ-1003,E-0808,1269000,333000,936000,0,0,6,2025-05-12,2025-05-18
TXN000957,CUST1978,PROJ-1002,C-2810,1019000,996000,0,23000,0,2,2025-01-23,2025-01-25
TXN002351,CUST5488,PROJ-1006,B-1809,723000,409000,314000,0,0,11,2025-02-15,2025-02-26
TXN001763,CUST8077,PROJ-1005,D-1901,2006000,1040000,966000,0,0,6,2024-06-14,2024-06-20
TXN000681,CUST7228,PROJ-1005,C-2711,1135000,1135000,0,0,0,4,2024-03-12,2024-03-16
TXN002121,CUST4017,PROJ-1003,B-0206,647000,368000,279000,0,0,17,2024-02-17,2024-03-05
TXN001664,CUST4714,PROJ-1005,E-2302,1017000,1017000,0,0,0,23,2024-06-17,2024-07-10
TXN001105,CUST4094,PROJ-1003,B-0705,706000,358000,325000,23000,0,4,2024-03-11,2024-03-15
TXN001130,CUST2155,PROJ-1006,B-0903,629000,203000,426000,0,0,11,2024-05-25,2024-06-05
TXN002066,CUST3299,PROJ-1001,D-0103,1526000,346000,1180000,0,0,28,2024-08-26,2024-09-23
TXN001995,CUST2411,PROJ-1007,E-2511,647000,354000,280000,13000,0,9,2024-03-13,2024-03-22
TXN002317,CUST5590,PROJ-1004,A-0205,498000,498000,0,0,0,7,2024-03-24,2024-03-31
TXN001999,CUST2471,PROJ-1006,D-2304,1164000,1164000,0,0,0,28,2024-07-16,2024-08-13
TXN001530,CUST1819,PROJ-1008,C-0210,1040000,701000,339000,0,0,1,2025-03-09,2025-03-10
TXN000898,CUST2815,PROJ-1001,A-1002,1145000,1145000,0,0,0,2,2025-12-16,2025-12-18
TXN001661,CUST7663,PROJ-1006,B-0708,358000,270000,88000,0,0,12,2025-10-06,2025-10-18
TXN000445,CUST6984,PROJ-1007,C-0706,1423000,1423000,0,0,0,9,2024-12-24,2025-01-02
TXN001648,CUST9710,PROJ-1006,B-0804,1795000,618000,1177000,0,0,12,2024-03-21,2024-04-02
TXN001994,CUST7630,PROJ-1006,A-0101,1014000,1014000,0,0,0,0,2024-12-24,2024-12-24
TXN001341,CUST2364,PROJ-1005,C-2602,985000,0,985000,0,0,19,2024-01-19,
TXN000205,CUST2531,PROJ-1001,D-1307,1998000,1987000,0,11000,0,10,2025-03-20,2025-03-30
TXN000638,CUST4458,PROJ-1003,B-0312,1544000,1544000,0,0,0,5,2024-01-06,2024-01-11
TXN000219,CUST8183,PROJ-1004,C-2712,515000,515000,0,0,0,11,2024-09-15,2024-09-26
TXN001588,CUST4029,PROJ-1007,A-0409,1303000,1303000,0,0,0,6,2024-05-21,2024-05-27
TXN001011,CUST1160,PROJ-1008,C-1403,1093000,1039000,0,54000,0,1,2025-12-11,2025-12-12
TXN001959,CUST9036,PROJ-1003,A-1803,1237000,1237000,0,0,0,6,2024-08-26,2024-09-01
TXN000603,CUST6087,PROJ-1004,D-1609,943000,943000,0,0,0,0,2024-05-19,2024-05-19
TXN002293,CUST8924,PROJ-1008,A-2211,468000,0,463000,5000,0,19,2025-04-23,
TXN002292,CUST5075,PROJ-1005,D-2910,1036000,1036000,0,0,0,18,2025-10-30,2025-11-17
TXN001575,CUST8110,PROJ-1008,D-0401,566000,425000,141000,0,0,6,2025-11-23,2025-11-29
